OBJECTID,CODIGO,NOMBRE,SUBTIPO_BARRIOVEREDA,SHAPEAREA,SHAPELEN
939,0511,Castilla,1,552601.73020799,2971.13936524143
940,1117,Florida Nueva,1,249111.07047545,2134.09185896522
941,1113,Estadio,1,363921.533611075,2637.08567775624
942,1319,El Socorro,1,182432.444133965,2794.80452695841
943,0310,Versalles No.2,1,248042.933997145,2943.49601084696
944,1015,Bomboná No.1,1,207288.85878848,1990.66226335109
945,Inst_17,Centro Administrativo,1,136990.538562935,1504.13808090946
946,0303,Campo Valdés No.2,1,388808.921071395,2838.99296969298
947,1604,Granada,1,184341.42397992,1873.97903552729
948,1615,Los Alpes,1,279886.105220285,2386.51996760063
949,0705,Facultad de Minas U. Nacional,1,28465.523984285,750.585688167531
950,1208,Campo Alegre,1,342591.107289925,3301.78801101287
951,1613,Altavista,1,403435.81297896,4755.85321732261
908,1201,Ferrini,1,199967.83836327,2012.30063878115
909,6008,La Ilusión,2,3069597.07886253,9419.54707589365
910,0709,Córdoba,1,234870.39173822,2699.88911194586
911,1005,Estación Villa,1,195053.950480695,1965.18845366306
912,0503,Florencia,1,292989.103906575,2452.99183533794
913,Inst_3,Cementerio Universal,1,94191.127116955,1486.19528308812
914,0712,Aures No.2,1,647667.64563691,4419.85932502466
915,1302,Blanquizal,1,121930.13958656,2239.60420748056
916,0804,La Ladera,1,542962.03366461,4409.54480645538
917,0915,Asomadera No.2,1,657291.320583355,4250.17603218517
918,Inst_9,Parque Norte,1,284606.651101235,2210.5485802768
919,0809,Sucre,1,340196.337112535,2623.67044043928
920,6001,La Palma,2,7143696.48373826,13914.5806289281
921,8005,El Astillero,2,14311116.8682531,19797.7839574468
922,8002,Potrerito,2,4283351.7997132,13411.5268447128
923,AE1,Área de Expansión Pajarito,2,2369952.71495149,9807.01086186273
924,AE7,Área de Expansión San Antonio de Prado,2,867148.094503065,7322.19098091577
925,6014,La Loma,2,6576280.09980172,17180.357260203
926,8004,Yarumalito,2,17670965.7927324,28170.9818714546
927,9011,Mazo,2,5012250.62905938,11003.4194929889
928,7003,El Corazón El Morro,2,7359941.07335546,16644.2423210037
929,0301,La Salle,1,367713.828942035,3437.29208207682
933,6011,El Picacho,2,1804060.76403118,7777.75303751347
952,5002,La Sucia,2,2622572.57163864,10314.5878081581
953,5007,La Aldea,2,1967893.5107271,6192.28648236722
954,5006,La Frisola,2,8813367.00175788,19238.9285818177
955,5005,Volcana Guayabal,2,10893428.0514706,21451.1047753773
956,5001,La Suiza,2,13161602.6938544,21687.4013859619
957,6007,San José de La Montaña,2,3829326.89065533,9239.16774085039
958,6005,Naranjal,2,1971796.97463222,7216.85530182702
959,9003,Piedras Blancas - Matasano,2,22235867.9445673,34085.1120124301
960,6012,Pajarito,2,1029468.12116003,7084.73832646755
961,6003,El Uvito,2,1743172.41156106,7387.36168210664
962,6016,Travesías,2,1533561.71253483,6351.05273148829
963,6013,Pedregal Alto,2,3070980.78190231,9797.45161606975
964,6002,El Patio,2,3063874.79106432,10541.9651899468
965,6015,Las Playas,2,1354306.03362755,6725.69209515021
966,AE2,Área de Expansión San Cristóbal,2,721793.729492545,5067.98995054964
967,AE3,Eduardo Santos,2,50997.863879805,1867.1228662753
968,AE5,Área de Expansión Altavista,2,187810.66141098,2796.3452013687
969,AE6,Área de Expansión Belén Rincón,2,332744.03974428,4196.66563044331
970,AUC1,Cabecera Urbana Corregimiento San Cristóbal,2,760605.98186738,6870.59470441695
971,7007,San José del Manzanillo,2,2072607.58295724,11999.377270052
972,1510,Guayabal,1,747197.185348065,4132.51670570833
973,9006,Santa Elena Sector Central,2,3229024.22886897,9166.07391058918
